City,age_pyramid_total_nyc,median_household_income_nyc,median_personal_earnings_nyc,no_hs_nyc,at_least_hs_nyc,complete_hs_somecollege_nyc,complete_bach_nyc,at_least_bachelors_nyc,grad_degree_nyc,latino_pop_nyc,white_pop_nyc,aframer_pop_nyc,natamer_pop_nyc,asian_api_pop_nyc,other_pop_nyc,asian_api_total_nyc,latino_total_pop_nyc,white_total_pop_nyc,aframer_total_pop_nyc,natamer_total_pop_nyc,other_total_pop_nyc,male_unemployment,female_unemployment,unemployment_nyc,households_receiving_snap_benefits_nyc,publicassist_nyc,renter_occ_nyc,owner_occ_nyc,median_rent_nyc,age_pyramid_male_under_5_nyc,age_pyramid_male_5_to_14_nyc,age_pyramid_male_15_to_24_nyc,age_pyramid_male_25_to_34_nyc,age_pyramid_male_35_to_44_nyc,age_pyramid_male_45_to_54_nyc,age_pyramid_male_55_to_64_nyc,age_pyramid_male_65_to_74_nyc,age_pyramid_male_75_to_84_nyc,age_pyramid_male_85_plus_nyc,age_pyramid_female_under_5_nyc,age_pyramid_female_5_to_14_nyc,age_pyramid_female_15_to_24_nyc,age_pyramid_female_25_to_34_nyc,age_pyramid_female_35_to_44_nyc,age_pyramid_female_45_to_54_nyc,age_pyramid_female_55_to_64_nyc,age_pyramid_female_65_to_74_nyc,age_pyramid_female_75_to_84_nyc,age_pyramid_female_85_plus_nyc,perc_age_pyramid_male_under_5_nyc,perc_age_pyramid_male_5_to_14_nyc,perc_age_pyramid_male_15_to_24_nyc,perc_age_pyramid_male_25_to_34_nyc,perc_age_pyramid_male_35_to_44_nyc,perc_age_pyramid_male_45_to_54_nyc,perc_age_pyramid_male_55_to_64_nyc,perc_age_pyramid_male_65_to_74_nyc,perc_age_pyramid_male_75_to_84_nyc,perc_age_pyramid_male_85_plus_nyc,perc_age_pyramid_female_under_5_nyc,perc_age_pyramid_female_5_to_14_nyc,perc_age_pyramid_female_15_to_24_nyc,perc_age_pyramid_female_25_to_34_nyc,perc_age_pyramid_female_35_to_44_nyc,perc_age_pyramid_female_45_to_54_nyc,perc_age_pyramid_female_55_to_64_nyc,perc_age_pyramid_female_65_to_74_nyc,perc_age_pyramid_female_75_to_84_nyc,perc_age_pyramid_female_85_plus_nyc,perc_age_pyramid_5_to_14_nyc,perc_age_pyramid_15_to_24_nyc,perc_age_pyramid_25_to_34_nyc,perc_age_pyramid_35_to_44_nyc,perc_age_pyramid_45_to_54_nyc,perc_age_pyramid_55_to_64_nyc,perc_age_pyramid_65_to_74_nyc,perc_age_pyramid_75_to_84_nyc,perc_age_pyramid_85_plus_nyc,prime_age_nyc,underfive_nyc,undereighteen_nyc,sixtyfive_nyc,commute_under_30_mins_nyc,commute_30_59_mins_nyc,commute_60_mins_plus_nyc,full_time_workers_nyc,part_time_workers_nyc,high_cost_h_nyc,ex_high_cost_h_nyc,foreign_nyc,native_nyc,north_eur_nyc,west_eur_nyc,south_eur_nyc,east_eur_nyc,nec_eur_nyc,east_asia_nyc,south_cen_asia_nyc,south_east_asia_nyc,west_asia_nyc,nec_asia_nyc,east_afr_nyc,mid_afr_nyc,north_afr_nyc,south_afr_nyc,west_afr_nyc,nec_afr_nyc,aus_nz_ocean_nyc,fiji_ocean_nyc,nec_ocean_nyc,carib_amer_nyc,cent_amer_nyc,south_amer_nyc,north_amer_nyc,adult_samehome_nyc,child_samehome_nyc,income_inequality_nyc,children_with_medicaid_nyc,adult_medicaid_nyc,married_nyc,divorced_nyc,lonely_nyc,nonfammore1_nyc,singlemom_nyc,singledad_nyc,badenglish_speakers_nyc,nonenglish_speakers_nyc,spanish_speaker_nyc,api_speaker_nyc,poverty_all_ages_federal_number_nyc,poverty_all_ages_federal_percent_nyc,poverty_child_federal_number_nyc,poverty_child_federal_percent_nyc,poverty_65_federal_number_nyc,poverty_65_federal_percent_nyc,management_business_science_and_arts_occupations_nyc,service_occupations_nyc,sales_and_office_occupations_nyc,natural_resources_construction_and_maintenance_occupations_nyc,production_transportation_and_material_moving_occupations_nyc,agriculture_forestry_fishing_hunting_mining_industries_nyc,construction_industries_nyc,manufacturing_industries_nyc,arts_entertainment_recreation_accommodation_food_services_nyc,educational_services_health_care_social_assistance_industries_nyc,finance_insurance_real_estate_rental_leasing_industries_nyc,information_industries_nyc,other_service_industries_nyc,professional_scientific_management_administrative_waste_management_services_industries_nyc,wholesale_trade_industries_nyc,public_administration_industries_nyc,retail_trade_industries_nyc,transportation_warehousing_utilities_industries_nyc,sch_enrol_nyc,pre_k_nyc,familychild_nyc,marriedchild_nyc,nonfamilychild_nyc,marriednochild_nyc,nonfamily_nyc,familynochild_nyc,grandrearers_nyc,lonelyaged_nyc,disabled_nyc,median_value_nyc,private_wage_and_salary_workers_class_nyc,government_workers_class_nyc,self_employed_class_nyc,unpaid_family_workers_class_nyc,rental_vac_nyc,labor_force_participation_nyc,no_kitchen_nyc,more_than_one_nyc,working_poor_nyc,computer_nyc,total_18_plus,total_veterans_nyc,total_veterans_percent_nyc,male_veterans_nyc,male_veterans_percent_nyc,female_veterans_nyc,female_veterans_percent_nyc,vet_total_nyc_25_plus,veterans_nohs_nyc,veterans_bachelors_nyc,veterans_nohs_percent_nyc,veterans_bachelors_percent_nyc,veterans_med_income_nyc,veterans_poverty_nyc,veterans_poverty_percent_nyc,veterans_poverty_disabled_nyc,veterans_poverty_disabled_percent_nyc,vet_total_nyc_18_64,veterans_unemployed_nyc,veterans_unemployed_percent_nyc,veterans_disabled_nyc,veterans_disabled_percent_nyc,year
"New York city, New York",8550405,55752,36087,19.0975730917716,80.9024269082283,44.0580380145297,21.8856470900721,36.8443888936987,14.9587418036266,29.064412738344,32.056925958478,21.9914729185343,0.161477731171798,14.0085528112411,2.71715784223087,1197788,2485125,2740997,1880360,13807,232328,5.29912063521788,4.25977138868738,4.74804999714444,20.8723974936301,4.05813469293708,68.3651167554608,31.6348832445392,1317,291721,486408,532291,741809,575442,536460,457557,275287,137300,47423,277991,467874,545605,784915,611448,582375,530998,360166,200614,106721,3.41177990984053,5.68871299078816,6.2253308469014,8.67571769992182,6.7299970001421,6.27408877123364,5.35129037747335,3.21957848780262,1.60577189033736,0.554628698874498,3.25120272080679,5.47195132862128,6.38104276931911,9.1798575623026,7.15109986018206,6.81108087862505,6.21020875619342,4.21226830775852,2.34625143487355,1.24813970800214,11.1606643194094,12.6063736162205,17.8555752622244,13.8810968603242,13.0851696498587,11.5614991336668,7.43184679556115,3.95202332521091,1.80276840687663,44.8218417724073,6.66298263064732,21.1059826990651,13.1866385276487,30.2907450611158,43.4219370050194,26.2873179338648,79.4212148212208,20.5787851787792,53.7734193778624,29.4517635163267,37.5713197211126,62.4286802788874,1.63027406360098,1.66361293784899,2.54910090877226,8.89531593486126,0.0264282952722301,14.7464595734243,8.73335313120824,3.34313265883592,2.51573090579013,0.0767945870866805,0.250430666036621,0.0584286339528574,0.958733882319688,0.128468285734386,2.78281544458369,0.386214204290411,0.301544047470074,0.0,0.0178056359195708,27.6608063711803,9.38042612746719,13.1348004928301,0.759323211514145,89.4110639604919,92.3139358540048,0.5514,49.1144344276615,23.0489086913241,39.3986631297258,7.96699766068339,32.4640549005847,7.88866742278327,10.1520318476569,2.50167218094899,22.9371434285218,49.4481118369044,24.6047930925297,8.92762069659865,1680857,19.9783108131318,508503,28.645425800335,198274,18.0863038715056,40.6663081106877,22.8068482074197,21.8707580819878,6.18553048243047,8.47055511747432,0.124965148309977,5.04193076774394,3.40499484280513,11.2972745917312,26.557390989656,9.30130211534181,3.76588852199756,5.48439145222747,13.3904041720863,2.24560954231331,3.6344967342653,9.42387254630052,6.32747857522137,78.4926141005542,61.4452021767583,29.6180077190365,16.7849576897474,0.179346000683253,19.3537727693841,40.1733763226847,30.2086159582787,0.256331837398499,10.7681742021068,10.3008238986324,538300,80.4023418380824,12.9270508005076,6.55722482559493,0.113382535815075,9.24689774702739,63.7934038243766,0.789480328025497,9.45714598898677,8.46792815797683,85.6214169548442,6743991,156961,2.32742006921421,144383,91.9865444282338,12578,8.01345557176623,155686,16370,48090,10.5147540562414,30.889097285562,39118,17862,11.3798969170686,7520,4.79099903797759,69775,3139,4.49874596918667,24730,15.7555061448385,2015
"New York city, New York",8537673,58856,36871,18.4561656572444,81.5438343427556,44.5232009533265,21.543797459696,37.0206333894291,15.4768359297331,29.1541969339889,31.8004917733439,21.985897093974,0.170760815037072,14.0463215210983,2.84233186255787,1199229,2489090,2715022,1877084,14579,242669,4.69010978331504,4.01586606444472,4.33252933598505,20.6140918341434,4.42694596879233,67.9531759711905,32.0468240288095,1351,283781,492043,520186,747150,569780,529366,460972,284360,134120,53884,271008,471669,534188,785734,605300,576810,533716,370508,201299,111799,3.32386822498355,5.76319800488962,6.0928311496587,8.75121359180657,6.6737154257372,6.20035459310751,5.39926980103361,3.33064993236447,1.57091985134591,0.631132159781711,3.17426071483412,5.52456155207631,6.25683368290165,9.20314001250692,7.08975384744766,6.7560563633674,6.25130524441496,4.33968365853319,2.35777359943394,1.30947858977499,11.2877595569659,12.3496648325603,17.9543536043135,13.7634692731849,12.9564109564749,11.6505750454486,7.67033359089766,3.92869345077986,1.9406107495567,44.6742338339733,6.49812893981768,21.0801467800418,13.5396377912342,29.0456562523725,43.9622391936903,26.9921045539372,79.2129906639694,20.7870093360306,53.4293875460081,29.2504562184746,37.4835039945896,62.5164960054104,1.51745864892371,1.60420271237687,2.32580957740705,8.53313476358962,0.0403097413020796,15.2228956830767,8.27009026569744,3.18553199015442,2.5723552044407,0.0356225620809076,0.27723102700159,0.149021051371797,1.02180507021551,0.152083341796296,2.79683984127336,0.442844692816335,0.29647970966987,0.0089368883817013,0.0267481694221552,28.3340921355695,9.63880909400263,12.7450965074578,0.802601321972027,89.4403153258447,92.7548055523743,0.5474,47.0258663587219,24.0721622668131,39.3565651333234,7.7192153148548,32.4278423313646,8.15510154548703,9.6233126183258,2.27301110725498,23.0128735429451,48.930461722856,24.2506843391436,8.29859233830781,1586197,18.8873606500827,471190,26.6307287377773,206414,18.4175047222884,40.7685735986632,22.8483791584384,21.8899103752089,6.08048610056205,8.41265076712745,0.105751177274799,5.00406501595017,3.35047242898375,11.2012638614613,26.2648154336928,9.58954883791584,3.77505696490962,5.51675527874829,13.41681300319,2.03705301534255,3.80094181983898,9.63531520583321,6.30214795685858,79.1284065733393,63.5966574620535,29.0862912709631,17.0063287949092,0.183638750473143,19.4954364807367,40.3993051263785,30.5144036026584,0.307562802365858,10.948818403428,10.9506923545933,569700,80.3951511468935,13.123086738569,6.33843536381589,0.143326750721556,10.0771391536056,63.7923725355584,0.706688142555038,9.33443473777382,7.69274982945403,88.0388248275738,6735697,147381,2.18805863743574,134801,91.4643000115347,12580,8.53569998846527,146024,13653,45173,9.34983290418013,30.935325699885,40942,14778,10.0270726891526,6719,4.55893229113658,70710,3362,4.75463159383397,25358,17.2057456524247,2016
"New York city, New York",8622698,60879,38430,18.1146070592309,81.8853929407691,44.5639064498128,21.6317487827848,37.3214864909563,15.6897377081715,29.1953748119208,31.6996953853655,21.8014825522128,0.160448620605755,14.4243599857028,2.71863864419234,1243769,2517429,2733369,1879876,13835,234420,4.80790209711695,3.47775518948925,4.10216531936349,20.722549225015,4.58702385119477,67.3449539414509,32.6550460585491,1379,282798,488288,510282,758107,572025,526029,468542,302123,147738,56607,269778,469777,524994,793878,607553,574135,540883,392399,224768,111994,3.27969273654255,5.66282154379059,5.9178925204153,8.79199294698713,6.63394450321698,6.10051517518067,5.43382129352089,3.50381052426978,1.71336164156509,0.656488259243221,3.12869591397031,5.44814395679867,6.08851197154301,9.20683990092196,7.04597331368906,6.65841480242031,6.27278144265287,4.55076821663011,2.60670152195983,1.29882781468167,11.1109655005893,12.0064044919583,17.9988328479091,13.679917816906,12.758929977601,11.7066027361738,8.05457874089989,4.32006316352492,1.95531607392489,44.4376806424161,6.40838865051287,20.7483666945079,14.3299579783497,28.7284101350521,43.2433028496019,28.028287015346,79.7897463867559,20.2102536132441,53.123585388476,28.3963114073781,37.0526719131297,62.9473280868703,1.59946665665083,1.49520804772547,2.45979580211209,8.51424439895585,0.0747431876654961,16.0044633076052,8.65421572862088,3.14553637939993,2.15268518344632,0.0951191571672707,0.332400608462131,0.0869499896711675,0.888686485505205,0.138437654541243,2.89032031900443,0.317282953670491,0.338284913018711,0.0025978578627454,0.0228486293952312,27.9725127858426,8.90254590070549,13.2291060239003,0.682548029070968,89.6256732696493,92.33780783846,0.5504,44.9434636576426,23.6349009975525,39.6093000941922,7.75291874066814,32.1801869433366,8.01111127287182,9.71429331000603,2.3319810841245,22.8426286492323,48.5354744327285,24.2623965288257,8.55072575111008,1522962,17.9542300714568,442837,25.1785320345602,216326,18.0322908426478,41.1840908662011,22.8260290540416,21.3416753479708,6.15274142485821,8.49546330692831,0.0934977051974834,5.19069924769463,3.23845091931846,10.5075750101703,26.7497555658486,9.28668226235781,3.85067695061797,5.57964396819167,13.7946380475462,2.02603841814496,3.7491289831181,9.33171117761005,6.60150174418369,79.3612855676582,63.5858884323076,28.8214860140635,16.5703803620247,0.204831257908253,20.0541258370326,39.9864669583001,31.1920470276364,0.297245855110369,11.4163359890925,10.8693045689657,609500,80.3514118655133,12.9503399145621,6.57969198310926,0.118556236815307,9.6550410826044,63.7758895099809,0.811760960149686,8.92997188950506,6.97915267342461,89.9751050266578,6830689,150825,2.20804958328508,138877,92.0782363666501,11948,7.92176363334991,149476,14373,46738,9.61559046268297,31.2678958495009,41487,13927,9.23388032487983,4623,3.06514172053705,68674,3958,5.76346215452719,20653,13.693353223935,2017
"New York city, New York",8398748,63799,40932,17.28762957565,82.71237042435,43.7280636504002,22.8354383991918,38.9843067739498,16.148868374758,29.164477848365,31.8597367131387,21.7136292218793,0.185694343966505,14.1090314889791,2.96743038367147,1184982,2449451,2675819,1823673,15596,249227,4.03554197616505,3.29819746119666,3.64400090888009,20.2806346750004,4.53359024473574,67.248946144068,32.751053855932,1443,273348,477570,480188,733083,556474,504974,465360,306443,154206,52287,261720,459288,497889,766949,590674,550900,534851,393493,230971,108080,3.25462795168994,5.68620465812285,5.71737597079946,8.7284795305205,6.62567801772359,6.01249138562081,5.54082584690004,3.64867477866939,1.83605937456392,0.622557076364239,3.11617874473672,5.46852935699464,5.92813357419463,9.13170629717667,7.03288156758603,6.55931098301795,6.36822297799625,4.68513878497128,2.75006465249344,1.28685846985765,11.1547340151175,11.6455095449941,17.8601858276972,13.6585595853096,12.5718023686388,11.9090488248963,8.33381356364067,4.58612402705737,1.90941554622189,44.0905477816455,6.37080669642666,20.7085151263022,14.8293531369199,28.6847652289341,43.7339073245529,27.581327446513,79.8864389353866,20.1135610646134,52.5983380863408,28.0905202084767,36.8279414979471,63.1720585020529,1.67505850144484,1.51586473832283,2.27258472606323,8.41001511112203,0.0419968924239417,15.2497861359173,8.99490023879064,3.25529261068072,2.41774719487269,0.0804374660129075,0.297049613234162,0.0676670483782216,1.11998179164756,0.0884553484772166,3.08863057800527,0.504318340970797,0.383565151437755,0.0023601024995748,0.0138049831139516,27.3467016436012,8.98381099005977,13.3552057718408,0.834765021082505,89.4606976027601,92.7889816079,0.5469,45.9979762122719,22.8168150758351,40.9417767628503,7.7806099247245,32.1828006692425,8.38261376368505,9.20883555827987,2.21177856715788,22.3026496500366,48.2876592129893,23.9068731179295,8.17922397656059,1426628,17.275658196198,407238,23.7915327105971,226454,18.7336305953789,42.0033397382439,22.7677958558128,19.8327981251347,5.93787969614049,9.45818658466818,0.0853010967493247,5.37978285838797,3.00913542501784,10.7079502478666,26.6157742540185,9.3142348770096,3.65507382746412,5.29203900399977,14.425631953615,1.93595871153328,3.7571078140397,8.79236413504151,7.02964579525685,79.7794140097469,62.6072730672151,28.2710356678105,16.6682891107415,0.182132431631253,20.3184114534922,40.3832820012963,31.3456823308932,0.316407996744226,11.6407431505645,10.4698333264522,645100,80.3754958187317,13.0307196315149,6.48916124008057,0.104623309672783,9.51730283086605,63.5367279088476,0.817900226597867,9.0636634494124,6.45065715752217,90.7616150247951,6657051,143638,2.15768213282428,132429,92.1963547250728,11209,7.80364527492725,141444,14123,44426,9.98487033737734,31.408896807217,38101,15986,11.1293668806305,6252,4.35260864116738,64621,2537,3.92596833846582,21320,14.842868878709,2018
"New York city, New York",8336817,69407,42326,16.7798428834586,83.2201571165414,44.0000526217967,22.7276744437859,39.2201044947447,16.4924300509588,29.0709031996264,31.8511009657523,21.6966979124047,0.156582542234044,14.3486896737688,2.87602570621377,1196224,2423588,2655368,1808814,13054,239769,3.65188518190368,2.97660630483547,3.29354313379829,19.5775315918584,4.60434383576874,68.1467303512608,31.8532696487392,1483,266631,474796,471415,727286,553394,491080,465106,316276,151845,61261,254624,453322,486927,756263,584926,536220,533633,403610,239152,109050,3.19823500983649,5.69517119063547,5.65461614426705,8.72378510887309,6.63795307009858,5.89049753640988,5.57893978001436,3.79372607075338,1.82137859089386,0.734824813834825,3.05421121754262,5.43759086951291,5.84068236114575,9.07136380707409,7.016178956549,6.43195118712573,6.40092015933659,4.84129614455973,2.86862480008857,1.30805318144803,11.1327620601484,11.4952985054128,17.7951489159472,13.6541320266476,12.3224487235356,11.979859939351,8.63502221531311,4.69000339098243,2.04287799528285,43.7717296661304,6.25244622737911,20.5723239456977,15.3679036015784,29.2045309458002,43.6406083456005,27.1548607085993,79.232125144098,20.767874855902,50.1323726057971,26.150275615927,36.2378471303856,63.7621528696144,1.4713266732493,1.44405168610065,2.1821313747421,8.38302026127717,0.0723912583666189,15.7328348807365,9.19147206481914,3.58166260245084,2.4042040553007,0.121314111528879,0.297012693792259,0.0125120693473168,0.0114859472579866,0.649502181833468,0.102877014633494,0.124425578509429,0.213466495293244,0.309359259576781,0.438319635706798,0.0267453757477037,2.80763553997027,1.22936046444272,3.54859499060436,89.0786107578975,91.6810573549162,0.5473,46.430083207855,22.2160130705829,40.3939981217996,7.83684048828564,32.8638790071606,8.36082967692951,8.60782184424763,2.32738187368364,22.0598211619331,48.0055432993814,23.8474981069819,8.33837668999363,1312028,16.0346379897197,372358,22.2094580972865,229152,18.4418372947594,43.287058581722,23.0706734609985,18.6988583040541,6.15011614739667,8.7932935058287,0.1091184431983,5.45357109616772,2.99035918436993,10.7760885667528,27.6851571770947,9.27492224523195,3.93698955255136,4.79444916273045,13.9842483576487,2.01929714343331,3.69206688073466,8.67823680883573,6.60549538125044,79.8325555310754,63.3308627193858,27.087108727939,15.9596927219371,0.192212288070537,20.404461741751,41.0324963960196,31.8803948760414,0.233912264370998,12.3445944031095,10.8328453776753,680800,81.0820080120374,12.9975529546812,5.7524712830894,0.167967750191963,9.46167894273982,63.9844723706064,0.644621216910571,8.66923510284697,5.65888033000246,91.4076560409065,6618668,138088,2.08634123965728,124528,90.1801749608945,13560,9.8198250391055,136187,12001,44899,8.81214800237908,32.968638710009,44748,16280,11.7895834540293,7352,5.32414112739702,64353,2559,3.97650459186052,20634,14.9426452696831,2019
"New York city, New York",8467513,67997,43133,16.1334922558383,83.8665077441617,42.9062293770822,23.5160561441584,40.9602783670795,17.4442222229211,29.100870586204,30.8788070357849,20.2459210868646,0.17490377635086,14.3329216028366,5.26657591195904,1213642,2464120,2614667,1714326,14810,445948,8.23801450278992,6.53749597470229,7.3421835801589,23.1091073701819,6.70128787843972,66.7288316566556,33.2711683433444,1602,256518,497540,471957,684859,575876,502868,497822,356299,164925,58154,244832,473506,481641,718660,595676,539880,549889,440005,248009,108597,3.0294373330162,5.87586933731309,5.57373812121694,8.08807733746615,6.80100520660553,5.93879218136423,5.87919971306805,4.20783528764585,1.94773837371138,0.686789615793917,2.89142750651815,5.59203156818301,5.6881046418234,8.48726184418022,7.03484010003882,6.37589809428105,6.49410281389589,5.19639001439974,2.9289473780554,1.28251353142298,11.4679009054961,11.2618427630403,16.5753391816464,13.8358453066443,12.3146902756453,12.3733025269639,9.40422530204559,4.87668575176678,1.9693031472169,42.725874763936,5.92086483953435,20.7019109389026,16.2502142010293,32.6134293696706,42.4602332450321,24.9263373852973,76.1773693738307,23.8226306261693,54.1198954078251,30.066249743942,36.3716713514346,63.6283286485654,1.63769404469579,1.36164937098443,2.09278945724311,9.22494474885163,0.0716982283913294,14.7797390158509,8.9951727089526,3.25791814062594,2.45796983608772,0.0636451665067961,0.327642719415088,0.0184441094774797,0.0274388600501238,0.645608775759245,0.10124776998377,0.157456843056864,0.178173994195301,0.243605122007135,0.300885771863251,0.02273041660957,2.46264580750454,1.03088933729146,3.78149705121553,88.7142240999283,92.9328338449049,0.5472,46.4743539244806,25.6958926883277,38.9522862877061,8.68543013647949,33.6404510561767,8.37539197798949,8.73434960377095,2.16655253922078,21.7093348453955,46.6156416834554,22.9153608832759,7.80192421370238,1499249,18.0060100540679,410280,23.8241237544422,239335,17.8639670867407,46.8275429144521,20.54263504707,18.5770918411106,5.50135835034231,8.55137184702497,0.0945820158939882,5.09916773087878,2.99765794407375,7.90960853306056,29.6453187558637,9.18868888541606,3.86591821904827,4.87756430393161,15.2042892615341,1.73325819390708,4.168264958034,8.76926565944055,6.44641553891754,79.0827427453337,56.6305269842447,25.7641560160483,14.6981750332042,0.165078839852385,20.3488470064141,41.8507641943138,32.3850797896378,0.210025138676336,12.1459176842392,11.554943424124,685700,79.2398131617124,14.4383985620376,6.0859251962807,0.235863079969292,10.3800978107493,62.4588517413918,0.699072733651052,9.12446632014817,6.61247745607988,94.1794696214186,6710926,133383,1.98754985526588,118931,89.165036024081,14452,10.834963975919,131872,12136,44989,9.20286338267411,34.1156576073768,43905,15750,11.8081014821979,5885,4.41210649033235,60375,3588,5.94285714285714,22002,16.4953554800837,2021
